category,analyzed_contracts,alerts_abs_z_ge_1_5,alert_rate_pct,max_abs_zscore,max_to_mean_ratio
FARMACEUTICO_GENERAL,81589,92,0.1128,191.0798230721208638,7920.4550925102313233
VACUNA,45935,314,0.6836,114.9968536274079419,1358.3317440757755682
DISPOSITIVO_MEDICO,15863,165,1.0402,82.7797549258551922,781.7901673431685757
INSUMO_MEDICO,2232,55,2.4642,22.3393134352382830,88.6900809618593606
ONCOLOGICO,400,3,0.7500,19.2671547621438259,138.4669839419646407
DIABETES,279,22,7.8853,6.6066991342471298,15.5223242642758400
ANTIBIOTICO,217,7,3.2258,8.8874946194441813,26.4070766571800547
ANALGESICO,42,4,9.5238,4.2222703721599297,9.2842283082765612
ANTIVIRAL,37,2,5.4054,4.8342571006279947,14.1890358571282185
