study_year,contracts,positive_contracts,value_cop
2020,35232,35232,3294396346852
2021,53711,53711,2843973859856
2022,30912,30912,2635356265633
2023,10642,10642,1521630345410
2024,9334,9334,1123658811284
2025,21921,21801,4529093532612
