study_year,analyzed_contracts,alerts_abs_z_ge_1_5,alert_rate_pct
2020,35238,120,0.3405
2021,53718,163,0.3034
2022,30926,126,0.4074
2023,10648,84,0.7889
2024,9335,83,0.8891
2025,6729,88,1.3078
