category,analyzed_contracts,alerts_abs_z_ge_1_5,alert_rate_pct,max_abs_zscore,max_to_mean_ratio
FARMACEUTICO_GENERAL,81558,141,0.1729,159.9720372430272198,5462.0249486672121382
VACUNA,45932,314,0.6836,115.4898392028753982,1367.6002987962219472
DISPOSITIVO_MEDICO,15853,165,1.0408,82.7538437331076812,781.3395094838917558
INSUMO_MEDICO,2230,55,2.4664,22.3316122326547715,88.7502898802169812
ONCOLOGICO,400,3,0.7500,19.2671547621438259,138.4669839419646407
DIABETES,279,22,7.8853,6.6066991342471298,15.5223242642758400
ANTIBIOTICO,217,7,3.2258,8.8874946194441813,26.4070766571800547
ANALGESICO,42,4,9.5238,4.2222703721599297,9.2842283082765612
ANTIVIRAL,37,2,5.4054,4.8342571006279947,14.1890358571282185
